"","kba","coastal_protection_reef","coastal_protection","coastal_protection_offshore","coastal_protection_onshore","commercial_timber","domestic_timber","flood_mitigation_500km","flood_mitigation_50km","fuelwood","fwfish","grazing","marinefish","moisture_recycling","nitrogen_retention_500km","nitrogen_retention_50km","nature_access_rural_6hr","nature_access_rural_1hr","nature_access_urban_6hr","nature_access_urban_1hr","pollination","reef_tourism","sediment_deposition_500km","sediment_deposition_50km","vulnerable_carbon"
"35",73,0,0,0,0,0,0,0,0,0,0,0,9.05042266845703,0,0,0,0,0,0,0,0,0,0,0,0
"36",74,0,0,0,0,0,0,0,0,0,0,0,15.4451780319214,0,0,0,0,0,0,0,0,0,0,0,0
"37",75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",76,0,0,0,0,0,0,0,0,0,0,0,11.1640198230743,0,0,0,0,0,0,0,0,0,0,0,0
"39",77,0,0,0,0,0,0,0,0,0,0,0,19.7872502207756,0,0,0,0,0,0,0,0,0,0,0,0
"40",79,0,0,0,0,0,0,0,0,0,0,0,25.1314895749092,0,0,0,0,0,0,0,0,0,0,0,0
"41",80,0,0,0,0,0,0,0,0,0,0,0,47.5065616965294,0,0,0,0,0,0,0,0,0,0,0,0
"42",81,0,0,0,0,0,0,0,0,0,0,0,23.1516077518463,0,0,0,0,0,0,0,0,0,0,0,0
"43",82,0,0,0,0,0,0,0,0,0,0,0,21.0208257436752,0,0,0,0,0,0,0,0,0,0,0,0
"44",83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",89,0,0,0,0,0,0,0,0,0,0,0.0267379675060511,3.93865132331848,0,0,0,189.167205810547,0,0,0,0,0,0,0,1
"51",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",97,0,52.2408528327942,12.6323517560959,52.2408528327942,0,0,0,0,0,0,0.759056473789392,16.8529314994812,0,0,0,2647.68255615234,843.318862915039,0,0,0,0,0,0,0
"59",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",104,0,0,0,0,4.78311804332867,0,13771.1310334546,1546.40798478625,1.31597926415605,5.80943343159743,2.64279149642249,0,805.08990587306,82037032.625,9466694.4921875,19665797.078125,106350.798200607,3795100.390625,0,151.309030168618,0,86089.6947155893,10546.2014427893,450
"64",107,0,0,0,0,0,0,3885.6582816762,281.760235216917,0,0.0192860113456845,2.89893395739965,0,426.458127998591,23726710.4375,1602692.765625,20615775.71875,108340.106127739,7274356.70703125,12491.947265625,98.221415290609,0,67671.3755748272,4671.44216302037,1244
"65",108,0,0,0,0,0.148622057314854,0,1827.99412053172,329.90383710868,0.0327259219181674,0.993870597332716,1.74892514193364,0,330.016000868021,30576961.3125,5259446.640625,37559975.25,232166.000026703,30022312,197751.962890625,93.4350707530975,0,455316.37745285,74819.7514419556,1186
"66",112,0,0,0,0,0.269471190567896,0,4198.54185578567,676.350900557018,0.174336224347574,0,1.16414920589842,0,259.951965110227,24701227.75,5124195.421875,28224628.921875,369005.845870018,27087616.171875,62666.40234375,42.1271023750305,0,41784.4388370514,10186.9431655407,1092
"67",113,0,0,0,0,2.41430702263982,0,42868.3963151364,17752.1147106694,2.15699578636559,10.9150650128722,2.03208556771278,0,769.934192906349,242077546.25,100918253.5,116303693,3980056.33300781,80372141.875,3369325.44628906,171.20284794271,0,487531.283280134,203323.563329935,1182
"68",120,0,0,0,0,5.77669564085331,0.318006024125801,301334.041943907,108171.191223387,5.82904309561332,0.256329721305519,41.9495386437871,0,1462.76265065552,2177398509.75,877150819.375,39066976.463623,3592191.41093636,56988559.9335938,3435976.14404297,6.29327577837466,0,160437817.679688,65239712.1708984,8929
"69",131,0,0,0,0,0,0,863.487885211567,78.251535886827,0,0.00486995000392199,0.964059787323318,0,124.382531658876,10331798.25,865842.953125,6382769.875,478.290835380554,2459011.28125,0,82.0592021942139,0,264000.902988434,22189.1614813805,352
"70",161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",163,0,0,0,0,0.00392426194649222,0,394.240040613167,219.971517309711,0.0157995148138975,0.001126145478338,1.42971365654771,0,76.9429098639222,15979496.125,4229613.1875,958111.15625,16321.4878778458,576111.234375,0,10.0302946865559,0,473442.529296875,120170.1015625,125
"72",173,0,0,0,0,0.00121244203767093,0,55.8882273625329,29.5493201723355,0.00487204278734268,8.89247342944145,0.483291289864805,0,98.5908875505763,14085343.625,3151308.046875,1232066.55175781,503.289619445801,960185.390625,0,4.0451394871634,0,4012956.90869141,924024.815856934,121
"73",175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",187,0,0,0,0,7.52886553527787e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",192,0,0,0,0,11.2788396421583,0.00161696595425235,22864.6730716034,528.028377444724,1.20154893280668,0,2.76210131800819,0,866.659009579411,94555695.25,3689043.20703125,32946541.46875,114660.215810776,28685135.25,0,27.5837277097453,0,161699.27774705,5721.50480272621,8881
"76",195,0,0,0,0,2.82792409411716,0,6474.84980295928,350.711786810037,1.01286233013554,0.0109218421857804,1.08997421153066,0,573.094477933162,64455018.875,3186512.5234375,12789093.21875,11654.8956375122,10490145.1601562,0,73.7260217256844,0,109137.825618684,6588.83762348071,5758
"77",198,0,0,0,0,6.9101735233135,0,6731.16701886356,402.941716189248,0.776290588194453,0.024236983852461,0.802139014005661,0,620.852351094259,60453495.25,3445692.19824219,34570701.0625,1183228.96094894,23250270.875,0,14.9502057343198,0,9557.74840707332,545.946715308353,6605
"78",199,0,0,0,0,4.63402118718857,0.00150414320718009,13713.4219474654,1060.95200916291,0.682877321320772,0.00927752302959561,0.647494182640121,0,854.523806896994,106464735.625,8657109.14453125,8104682.4140625,75813.3852157593,5302173.4375,0,43.4583843897193,0,351705.799654543,26855.1341045797,5732
"79",202,0,0,0,0,2.71096446052258,0,4635.90165211943,123.084737501977,0.425702969797799,0,0.0614973269402981,0,193.701580887547,16150543.625,418893.09375,5487774.1875,117277.241210938,471790.6015625,0,1.18455222824747,0,5590.89570975304,147.504192352295,921
"80",206,0,0,0,0,11.2662764720393,0,26602.716053335,5155.38689167182,0.958708701699081,0.0153154486324638,0.678944354626377,0,878.509839789221,158754785.75,31032278.75,15080528.640625,57057.1150169373,24508136.578125,0,49.5924603553794,0,94069.4740501642,17683.1477659643,7426
"81",208,0,0,0,0,0.715909694347496,0,1056.95098618272,23.858770611294,0.335857185279622,0,0.566844895482063,0,112.022217744018,24459620.21875,515976.076171875,2883421.4375,14915.700504303,684074.09375,0,16.3184059858322,0,5543.2563457489,138.332906961441,323
"82",209,0,0,0,0,0.121803829664741,0,917.221194466763,268.608693219237,0.250399758970754,0,0.379679128527641,0,29.9735578065195,25525883,9010609.5,1372159.875,56381.4306640625,1313969.625,0,34.7123146057129,0,741868.28125,259363.5625,158
"83",211,0,0,0,0,2.18528431154623,0,5051.62819041903,1025.89872517064,0.517101533607757,0,0.336510710935807,0,129.149651028706,7846555.90625,1836900.328125,6961405,68420.2362518311,3200095.078125,0,37.0979000154184,0,2638.42951342463,623.348776519299,1681
"84",212,0,0,0,0,0.990733148690942,0,2044.485643156,316.20364119368,0.606215523403611,0,0.989197874611166,0,77.4897906172234,7918771.4375,1736468.265625,4801124.4375,64092.8312988281,2773179.734375,3008.18408203125,43.4388031959534,0,140333.324890137,31731.1649303436,1150
"85",213,0,940.446834087372,1457.34539873898,940.446834087372,4.34308515665085,0,435.913467678972,407.325595902282,2.42725854493005,23.3309277348453,3.48468325718742,270.261520385742,0,386429.652599335,339215.409263611,21968728.65625,1285924.61919785,10623517.1875,0,17.9962135974001,0,915.228740132414,809.031904124189,4468
"86",214,0,0,0,0,2.76268752705478,0,16354.184229202,4956.32138914886,1.48717760092092,0.0411413758993149,1.10080903419146,0,440.143373003899,51469599.75,16539819.71875,22487168.6875,266390.822374344,21800010.25,54832.8291015625,126.740751087666,0,822964.995726585,282813.845842838,4563
"87",215,0,0,0,0,7.22427800348636,0,28036.1502264898,4608.47189164525,0.0687938395036051,0,0,0,434.616588194532,105228676.25,20596643.5,14177767.578125,17166.6474103928,19020272.71875,0,0.0356361210579053,0,45187.6144762039,8915.79355722666,4823
"88",216,0,0,0,0,0.279987958263518,0,2039.95095874091,381.094281637306,0.081725067123419,0.00578460656106472,0,0,28.5978419641819,10471304.5,1911714.0625,1198984.6875,27263.4141235352,956342.59375,0,1.80847819894552,0,719214.829452515,143598.824302673,64
"89",219,0,0,0,0,1.12342992335438,0,1927.27578447674,183.809352138949,0.258859119196068,0,0.532184447993652,0,28.0377428704006,6623624.0625,808041.2890625,6171820.25,110953.951660156,3128216.8125,265509.53125,7.19695910811424,0,150321.590797424,18103.7931261063,1512
"90",220,0,0,5790.34814453125,0,0,0,0,0,0,0,0,340.619051218033,0,0,0,1325369.8125,167879.58203125,343279.5703125,321755.203125,0,0,0,0,0
"91",221,0,0,261.684967041016,0,0,0,0,0,0,0,0,11.0548553466797,0,0,0,0,0,0,0,0,0,0,0,0
"92",222,0,0,0,0,0,0,0,0,0,0,0,342.888899564743,0,0,0,0,0,0,0,0,0,0,0,0
"93",223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",224,0,0,0,0,0.554185478719287,0,1037.13225104393,174.693006434227,0.0093834038053679,0,0,0,27.5089608127437,1156371.75,223433.6875,2353347.875,47511.4267578125,2023707.25,0,0.00302908523008227,0,0.887932419776917,0.172415256500244,209
"95",226,0,42428.492805481,29903.2052942864,42428.492805481,0.502778359309546,0,0,0,0.0719491883268036,0,0,294.616663217545,0,4638.72250840068,4572.37457603216,9582149.34489441,743388.315917969,3314891.8125,1179769.078125,0,0,0,0,2546
"96",229,0,0,0,0,0.569596266606834,0,1784.58867722624,239.563464483184,0.230268676934067,0,0.241739663821991,0,123.790323657347,14068437.15625,2168689.42578125,7069479.5625,174565.938903809,6956301.3125,98379.390625,47.6214878559113,0,321803.82276535,48935.1635528803,312
"97",230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",231,0,0,0,0,0.125295603588166,0,882.824642056169,621.472373293111,0.0376741577674637,0,0.0987814880658723,0,13.8607672864222,1228829.125,864043.75,1166006.765625,42133.6953125,615002.84765625,469.963073730469,2.13406443595886,0,38260.81640625,26644.12890625,59
"99",232,0,0,0,0,2.26683775339069,0,9176.06516663571,4665.80299008041,0.183138106264834,0,0,0,124.7469055778,6050799.0625,3070422,8977252.25,267562.962402344,5414320.75,0,0.0675357269501546,0,1090.97381134331,589.031697526574,905
"100",235,0,0,0,0,15.3803614418714,0,90654.2870174368,15379.9756688523,2.05501446773256,0.26675424631685,0.216973684341002,0,1227.50665611105,382238815.25,67385554.4257812,58666440.3125,1546281.77001953,52656832.375,0,11.184727594813,0,611706.734832034,97802.6251205178,6531
"101",236,0,0,0,0,8.31412032413026,0,20309.7456396852,5913.8456993082,0.726608147069832,0.00320854038000107,0.673604275746389,0,581.101171048578,22570080.71875,6692657.4296875,25118733.96875,549724.505249023,17885742.6328125,0,30.5730772841471,0,10789.6966788657,3320.76227424014,3166
"102",237,0,0,0,0,32.8506686623891,0,86237.953528471,11664.4083276985,3.11368733620317,6.37898822175339,0.013647231401651,0,2126.53249324971,239966054.625,32773827.8125,111939123.0625,1686029.60957623,115239772.453125,257109.379638672,28.710000034485,0,245723.755466953,34792.3954341188,18931
"103",238,0,0,0,0,1.00983101277067,0,4664.5802689658,1892.92612560286,0.418762567196879,8.10860297083855,0.0523714373940973,0,165.053764876462,19973304.375,8715503.296875,12165456.5,903400.831054688,10091333.75,1723937.69628906,15.8382557989098,0,101111.499238968,40853.3732261658,676
"104",239,0,0,0,0,0.0757617943426798,0,106.144025805586,97.9867366172996,0.0789367248564838,0,0.0695187225937843,27.6371383666992,0,157735.21875,134133.828125,0,0,0,0,14.2580156326294,0,20895.34765625,17776.115234375,88
"105",241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
