"","kba","coastal_protection_reef","coastal_protection","coastal_protection_offshore","coastal_protection_onshore","commercial_timber","domestic_timber","flood_mitigation_500km","flood_mitigation_50km","fuelwood","fwfish","grazing","marinefish","moisture_recycling","nitrogen_retention_500km","nitrogen_retention_50km","nature_access_rural_6hr","nature_access_rural_1hr","nature_access_urban_6hr","nature_access_urban_1hr","pollination","reef_tourism","sediment_deposition_500km","sediment_deposition_50km","vulnerable_carbon"
"34",72,0,0,0,0,0,0,0,0,0,0,0,1.09825943816792,0,0,0,0,0,0,0,0,0,0,0,0
"35",73,0,0,0,0,0,0,0,0,0,0,0,3.01680755615234,0,0,0,0,0,0,0,0,0,0,0,0
"36",74,0,0,0,0,0,0,0,0,0,0,0,1.40410709381104,0,0,0,0,0,0,0,0,0,0,0,0
"37",75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",76,0,0,0,0,0,0,0,0,0,0,0,3.72133994102478,0,0,0,0,0,0,0,0,0,0,0,0
"39",77,0,0,0,0,0,0,0,0,0,0,0,0.732861119287985,0,0,0,0,0,0,0,0,0,0,0,0
"40",79,0,0,0,0,0,0,0,0,0,0,0,0.966595752881123,0,0,0,0,0,0,0,0,0,0,0,0
"41",80,0,0,0,0,0,0,0,0,0,0,0,0.650774817760677,0,0,0,0,0,0,0,0,0,0,0,0
"42",81,0,0,0,0,0,0,0,0,0,0,0,1.21850567114981,0,0,0,0,0,0,0,0,0,0,0,0
"43",82,0,0,0,0,0,0,0,0,0,0,0,1.10635924966712,0,0,0,0,0,0,0,0,0,0,0,0
"44",83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",89,0,0,0,0,0,0,0,0,0,0,0.0267379675060511,3.93865132331848,0,0,0,189.167205810547,0,0,0,0,0,0,0,1
"51",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",97,0,17.4136176109314,6.31617587804794,17.4136176109314,0,0,0,0,0,0,0.253018824596464,5.6176438331604,0,0,0,882.560852050781,281.106287638346,0,0,0,0,0,0,0
"59",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
