,kba,coastal_protection_reef,coastal_protection,coastal_protection_offshore,coastal_protection_onshore,commercial_timber,domestic_timber,flood_nathab,flood_mitigation_500km,flood_mitigation_50km,fuelwood,fwfish,grazing,marinefish,moisture_recycling,nitrogen_retention_500km,nitrogen_retention_50km,rural_nature_access_360,rural_nature_access_60,urban_nature_access_360,urban_nature_access_60,pollination,reef_tourism,sediment_deposition_500km,sediment_deposition_50km,vulnerable_carbon
63,104,0,0,0,0,4.783118043,0,762978.9501,13771.13103,1546.407985,1.315979264,5.809433432,2.642791496,0,805.0899059,82037032.63,9466694.492,5055.975338,3930.151187,1197.907965,0,151.3090302,0,86089.69472,10546.20144,450
64,107,0,0,0,0,0,0,259481.5062,3885.658282,281.7602352,0,0.019286011,2.898933957,0,426.458128,23726710.44,1602692.766,4344.333267,2875.51518,957.7222233,0,98.22141529,0,67671.37557,4671.442163,1244
65,108,0,0,0,0,0.148622057,0,97007.02955,1827.994121,329.9038371,0.032725922,0.993870597,1.748925142,0,330.0160009,30576961.31,5259446.641,4674.614014,5466.094944,4192.621201,1284.116841,93.43507075,0,455316.3775,74819.75144,1186
66,112,0,0,0,0,0.269471191,0,162940.4848,4198.541856,676.3509006,0.174336224,0,1.164149206,0,259.9519651,24701227.75,5124195.422,2140.54031,2076.790097,2199.02548,793.0379639,42.12710238,0,41784.43884,10186.94317,1092
67,113,0,0,0,0,2.414307023,0,988240.0925,42868.39632,17752.11471,2.156995786,10.91506501,2.032085568,0,769.9341929,242077546.3,100918253.5,15845.46118,10469.88111,11322.67268,2784.878442,171.2028479,0,487531.2833,203323.5633,1182
68,120,0,0,0,0,5.776695641,0.318006024,994617.2878,301334.0419,108171.1912,5.829043096,0.256329721,41.94953864,0,1462.762651,2177398510,877150819.4,25638.7337,26382.58438,28616.63468,16818.0256,6.293275778,0,160437817.7,65239712.17,8929
69,131,0,0,0,0,0,0,55850.62174,863.4878852,78.25153589,0,0.00486995,0.964059787,0,124.3825317,10331798.25,865842.9531,1006.54628,817.080564,168.1309109,0,82.05920219,0,264000.903,22189.16148,352
70,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,163,0,0,0,0,0.003924262,0,40337.7635,394.2400406,219.9715173,0.015799515,0.001126145,1.429713657,0,76.94290986,15979496.13,4229613.188,2257.245316,573.3908486,1200.603516,0,10.03029469,0,473442.5293,120170.1016,125
72,173,0,0,0,0,0.001212442,0,5694.739761,55.88822736,29.54932017,0.004872043,8.892473429,0.48329129,0,98.59088755,14085343.63,3151308.047,1840.724832,100.4723042,1333.295853,0,4.045139487,0,4012956.909,924024.8159,121
73,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,192,0,0,0,0,11.27883964,0.001616966,919527.2181,22864.67307,528.0283774,1.201548933,0,2.762101318,0,866.6590096,94555695.25,3689043.207,6294.126381,1498.159283,5864.291748,0,27.58372771,0,161699.2777,5721.504803,8881
76,195,0,0,0,0,2.827924094,0,481541.7388,6474.849803,350.7117868,1.01286233,0.010921842,1.089974212,0,573.0944779,64455018.88,3186512.523,2358.078838,401.4096438,1053.48502,0,73.72602173,0,109137.8256,6588.837623,5758
77,198,0,0,0,0,6.910173523,0,696633.2717,6731.167019,402.9417162,0.776290588,0.024236984,0.802139014,0,620.8523511,60453495.25,3445692.198,5298.850197,4621.24773,4553.54812,0,14.95020573,0,9557.748407,545.9467153,6605
78,199,0,0,0,0,4.634021187,0.001504143,362012.3408,13713.42195,1060.952009,0.682877321,0.009277523,0.647494183,0,854.5238069,106464735.6,8657109.145,1931.580573,1472.22531,1213.927256,0,43.45838439,0,351705.7997,26855.1341,5732
79,202,0,0,0,0,2.710964461,0,394686.6323,4635.901652,123.0847375,0.42570297,0,0.061497327,0,193.7015809,16150543.63,418893.0938,1170.590248,1048.048158,5.528697491,0,1.184552228,0,5590.89571,147.5041924,921
80,206,0,0,0,0,11.26627647,0,628894.8825,26602.71605,5155.386892,0.958708702,0.015315449,0.678944355,0,878.5098398,158754785.8,31032278.75,3274.885725,683.889751,4361.812587,0,49.59246036,0,94069.47405,17683.14777,7426
81,208,0,0,0,0,0.715909694,0,97953.11814,1056.950986,23.85877061,0.335857185,0,0.566844895,0,112.0222177,24459620.22,515976.0762,735.960228,241.931234,355.6565208,0,16.31840599,0,5543.256346,138.332907,323
82,209,0,0,0,0,0.12180383,0,11732.12426,917.2211945,268.6086932,0.250399759,0,0.379679129,0,29.97355781,25525883,9010609.5,158.0952072,176.9745483,245.7465668,0,34.71231461,0,741868.2813,259363.5625,158
83,211,0,0,0,0,2.185284312,0,53184.78996,5051.62819,1025.898725,0.517101534,0,0.336510711,0,129.149651,7846555.906,1836900.328,1256.198933,830.6400023,317.2483559,0,37.09790002,0,2638.429513,623.3487765,1681
84,212,0,0,0,0,0.990733149,0,21014.78578,2044.485643,316.2036412,0.606215523,0,0.989197875,0,77.48979062,7918771.438,1736468.266,1130.348686,306.5239754,541.9435844,0,43.4388032,0,140333.3249,31731.16493,1150
85,213,0,1996.474121,1457.345399,940.4468341,4.343085157,0,29511.08944,435.9134677,407.3255959,2.427258545,23.33092773,3.484683257,53.23332977,0,386429.6526,339215.4093,4890.549107,4353.242421,3101.878682,0,17.9962136,0,915.2287401,809.0319041,4468
86,214,0,0,0,0,2.762687527,0,86728.91103,16354.18423,4956.321389,1.487177601,0.041141376,1.100809034,0,440.143373,51469599.75,16539819.72,3104.861382,1414.463493,2683.433201,378.6178055,126.7407511,0,822964.9957,282813.8458,4563
87,215,0,0,0,0,7.224278003,0,272360.4641,28036.15023,4608.471892,0.06879384,0,0,0,434.6165882,105228676.3,20596643.5,1601.090494,104.1556411,2308.235058,0,0.035636121,0,45187.61448,8915.793557,4823
88,216,0,0,0,0,0.279987958,0,23009.52268,2039.950959,381.0942816,0.081725067,0.005784607,0,0,28.59784196,10471304.5,1911714.063,145.6263809,54.07406473,107.5696945,0,1.808478199,0,719214.8295,143598.8243,64
89,219,0,0,0,0,1.123429923,0,17899.05383,1927.275784,183.8093521,0.258859119,0,0.532184448,0,28.03774287,6623624.063,808041.2891,1004.928917,639.7461357,503.7467537,673.9723206,7.196959108,0,150321.5908,18103.79313,1512
90,220,0,5790.359863,5790.348145,0,0,0,0,0,0,0,0,0,340.6190512,0,0,0,0,0,0,0,0,0,0,0,0
91,221,0,301.6498413,261.684967,0,0,0,0,0,0,0,0,0,11.05485535,0,0,0,0,0,0,0,0,0,0,0,0
92,222,0,0,0,0,0,0,0,0,0,0,0,0,342.8888996,0,0,0,0,0,0,0,0,0,0,0,0
93,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,224,0,0,0,0,0.554185479,0,6152.736836,1037.132251,174.6930064,0.009383404,0,0,0,27.50896081,1156371.75,223433.6875,236.365303,88.86207962,187.8520203,0,0.003029085,0,0.88793242,0.172415257,209
95,226,0,61015.25592,29903.20529,42428.49281,0.438374923,0,0,0,0,0.06365725,0,0,178.642859,0,4638.722508,4572.374576,1058.674484,2201.610038,601.8406181,2612.212219,0,0,0,0,2283
96,229,0,0,0,0,0.569596267,0,20367.83719,1784.588677,239.5634645,0.230268677,0,0.241739664,0,123.7903237,14068437.16,2168689.426,984.6783371,741.2895591,901.6915894,289.4046879,47.62148786,0,321803.8228,48935.16355,312
97,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,231,0,0,0,0,0.125295604,0,4010.671586,882.8246421,621.4723733,0.037674158,0,0.098781488,0,13.86076729,1228829.125,864043.75,134.2869873,118.5030975,76.87506866,0,2.134064436,0,38260.81641,26644.12891,59
99,232,0,0,0,0,2.266837753,0,46017.07634,9176.065167,4665.80299,0.183138106,0,0,0,124.7469056,6050799.063,3070422,1167.705063,355.8724031,809.6995926,0,0.067535727,0,1090.973811,589.0316975,905
100,235,0,0,0,0,15.38036144,0,1091087.841,90654.28702,15379.97567,2.055014468,0.266754246,0.216973684,0,1227.506656,382238815.3,67385554.43,6799.325958,4650.63973,4625.496864,0,11.18472759,0,611706.7348,97802.62512,6531
101,236,0,0,0,0,8.314120324,0,203521.2009,20309.74564,5913.845699,0.726608147,0.00320854,0.673604276,0,581.101171,22570080.72,6692657.43,2180.363781,2393.562828,414.0552711,0,30.57307728,0,10789.69668,3320.762274,3166
102,237,0,0,0,0,32.85066866,0,1348239.33,86237.95353,11664.40833,3.113687336,6.378988222,0.013647231,0,2126.532493,239966054.6,32773827.81,12507.68203,8679.612104,12526.68284,174.565583,28.71000003,0,245723.7555,34792.39543,18931
103,238,0,0,0,0,1.009831013,0,52134.9068,4664.580269,1892.926126,0.418762567,8.108602971,0.052371437,0,165.0537649,19973304.38,8715503.297,1742.481407,2138.527256,1335.474609,3888.371767,15.8382558,0,101111.4992,40853.37323,676
104,239,0,0,0,0,0.075761794,0,2849.937073,106.1440258,97.98673662,0.078936725,0,0.069518723,0,0,157735.2188,134133.8281,105.1555176,285.8477783,47.52143478,522.4424438,14.25801563,0,20895.34766,17776.11523,88
105,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,242,0,0,0,0,7.357634246,0,106293.4768,6080.956172,1725.364212,2.750199627,0,2.792503236,0,456.328767,21109712.59,10578113.34,6177.04641,7622.153325,3251.661507,256.9236908,117.1476636,0,44572.29754,18014.09003,4553
107,243,0,0,0,0,0.35713098,0,15651.21852,866.6715265,134.5419216,0.188177669,0,0.053475935,0,55.01792163,3077705.5,582911.5313,563.6810913,421.9218864,449.9714966,572.7373657,30.47022438,0,67604.54849,13449.22993,296
108,256,0,0,0,0,0,0,60838.01563,2053.327268,192.340653,0,0.47230503,0.45647248,0,12.48027277,27027426,2611023.25,891.1881714,935.9249268,0,0,4.4371171,0,2186563.75,211242.8594,73
109,257,0,0,0,0,0.011631095,0,164553.2517,5594.561973,591.2410147,0.010545472,0.005670355,0.336811218,0,24.96054553,56963552,6628522.75,1782.376343,921.1446228,0,0,0,0,5826332.125,688881.3164,172
110,259,0,0,0,0,8.412705741,0,101108.242,14007.11372,2089.498075,0.230127454,13.39414259,0.433570502,0,450.8276598,10205767.66,1505496.813,2781.945195,350.1910302,1136.08591,0,0.071395908,0,10092.82346,1491.834428,9619
111,260,0,0,0,0,12.13758813,0,35319.64121,4207.252689,1956.240952,0.395670942,0.17559456,0.102426853,0,452.8688319,5070922.21,2481308.275,2165.325899,571.1929717,902.7393183,0,0.061460851,0,246.4205016,142.2989995,5778
112,262,0,0,0,0,5.455946264,0,3959.039785,4.244921875,3.220137014,0.317009985,0.020797365,0.359878223,0,0,80605.78384,62098.57966,1730.608547,293.9460633,1051.45589,0,0.041795071,0,181.0178843,136.5746344,5605
113,265,0,409.0549871,299.3828537,307.0822779,0.586075688,0.027555241,0,0,0,0.031018658,0,0,53.3269664,0,2882.120602,2828.382608,453.489109,155.5024176,0,0,0.002733516,0,0,0,840
114,269,0,0,0,0,3.065574613,0,2365.532554,41.70417604,28.52756862,0.193581544,0.01927486,0.390464369,0,0,128242.7756,107369.1724,1428.024071,314.9612669,1303.096069,0,0.024895664,0,281.7769106,240.5047632,2859
115,271,0,63.3233633,11.30308628,46.91761875,0.055669572,0.000918575,0,0,0,0.002760028,0,0,4.776586533,0,271.3920898,264.9812622,59.39490891,26.31568241,0,0,0.000455939,0,0,0,114
116,273,0,734.9273376,390.0139914,622.1555634,0.482538949,0,0,0,0,0.006660185,0,0,16.42065215,0,1600.962509,1578.401276,148.4872723,132.2261486,0,0,2.97E-05,0,0,0,254
117,276,0,1842.191403,1174.988986,897.1668625,4.785503577,0,9331.20834,21389.1359,14160.4307,0.345387244,0.190399719,0.290183803,19.31076622,48.34755618,2227071.619,1464738.07,1936.746433,1294.723763,1778.488307,0,0.009265025,0,80.30296572,53.34976057,3122
118,18564,0,3203.981522,2246.178225,840.5372686,0.145091292,0,5219.001811,0,0,0.021640094,0.043469448,0.008515421,670.219636,0,8301.146248,8219.151543,337.000061,337.000061,0,0,0.017144332,0,0.158776253,0.156743526,603
119,278,0,0,0,0,18.30439862,0,255967.6279,74483.80715,39199.72713,0.272265837,2.468591536,1.054077213,0,1160.723729,29748193.89,15153841.92,5676.204805,446.0562597,2917.213336,0,0.011225826,0,32251.96528,16870.35592,13001
120,282,0,312.7055626,179.5749793,189.755476,0,0.023723496,0,0,0,0.016019847,0,0.043976343,21.15369415,0,120.8349228,119.8677216,33.59225082,96.09968567,0,0,0.000483815,0,0,0,80
