"","country","country_id","coastal_protection_reef","coastal_protection","coastal_protection_offshore","coastal_protection_onshore","commercial_timber","domestic_timber","flood_nathab","flood_mitigation_500km","flood_mitigation_50km","fuelwood","fwfish","grazing","marinefish","moisture_recycling","nitrogen_retention_500km","nitrogen_retention_50km","rural_nature_access_360","rural_nature_access_60","urban_nature_access_360","urban_nature_access_60","pollination","reef_tourism","sediment_deposition_500km","sediment_deposition_50km","vulnerable_carbon"
"25","Bahrain","BHR",0,1408424.73486584,1622922.09182836,28420.1431894004,0,0,0,0,0,0,0,0,83.6204319000244,0,1126635.89501953,1074499.32983398,3036.92248535156,3807.28863525391,48125.8544921875,65958.4453125,0,435,0,0,78
"26","Bahamas","BHS",0,507393.983677551,153459.052517033,234623.038982146,18.0216533457397,9.68791747034745,0,160.521883041473,142.285966865222,5.01858828498488,0,17.68489636003,4.63386677205563,0,7596844.96285776,7341240.80057706,65576.0240751184,58876.0476117781,69830.9365234375,64123.9462890625,0,1605,205.306277386481,165.079396054524,279387
"27","Bosnia and Herzegovina","BIH",0,6987.17626953125,6223.22514343262,6241.58655548096,1828.31501056169,60.8391473380557,183209878.002545,13194979.4699237,3548282.51367995,796.16133575579,31.9454205251532,520.987522055239,0,138142.450527993,59642740043.2952,12596194298.1908,1815418.14986587,1440011.34095674,661687.335208369,456117.231947456,4467.07678556268,0,1638265588.37352,434678329.635319,696408
"28","Saint-Barthélemy","BLM",0,51471.9787597656,25152.3599243164,26057.2192382812,0,0.00476215062036249,0,0,0,0.0002073553730101,0,0,0,0,19715.57421875,19512.193359375,2194.9697265625,2194.9697265625,0,0,0,54,0,0,134
"29","Belarus","BLR",0,0,0,0,3897.99649085761,3.72238655762767,542576845.562584,10020382.5288026,861178.589971716,1088.76854663731,104.206067004474,471.098659008546,0,362457.033886143,89169482704.9688,9376909359.45508,1984714.35288448,1633959.88143668,2055518.18599643,1493520.59891799,69798.1862626242,0,190018198.127016,23392469.5101149,2279748
"30","Belize","BLZ",808960862.972656,190690.999441951,44235.530455487,105806.343983202,1669.95275901249,43.0359551457257,7253404.95611311,857497.895443911,434424.830093448,196.051585255409,9.50202269549482,26.7597360739998,3.57853221893311,10148.9051101445,1549576362.58072,712614838.784893,209028.121571384,175423.020684552,19146.1207414567,13333.3246585131,236.302283066227,160,18321361.9868465,10028808.1201773,430505
"31","Bermuda","BMU",0,84274.2324962616,165990.152101517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0
"32","Bolivia","BOL",0,0,0,0,20848.1426267391,1452.89466665527,586878194.006949,6510182.16807753,544735.905151952,1709.13183628395,13221.4593541564,14461.6111782661,0,1849749.02112784,98112836468.6794,10408597772.0119,3728219.99783787,3432916.71176985,4019024.33526498,3089241.34345981,4186.96996847426,0,8093174475.94102,1903212641.3697,18451406
"33","Brazil","BRA",0,42820989.5882605,14301113.8128781,14247032.0621662,198658.389598358,3106.38585559542,7785656803.15469,435927440.325085,114309183.992447,31663.7366567523,36686.4733871726,133414.897026427,18444.4348093867,8382736.07565955,3023290203728.64,530867335994.466,49525924.3611329,45930675.1330373,72211269.9370495,60351978.1415435,308206.762374192,1497,85119365311.1062,17574436344.9445,179731856
"34","Barbados","BRB",0,393433.637438193,351695.364995003,7554.77465891838,0,0,0,0,0,0,0,0,0,0,3316141.63867188,3014524.57519531,14594.4536132812,14812.5908203125,15936.59765625,15996.8891601562,0,300,0,0,901
"35","Brunei","BRN",0,689837.959217739,108368.950562708,295183.466422272,352.814212625862,3.62496783059737,1654473.95731614,348065.731488065,253277.675282486,14.2660675299835,3.43415570526849,0,77.5437862873077,3174.69179288162,320309748.137285,208377387.70035,155005.992656975,103259.957806625,33298.6298743505,16825.0385956168,16.5133308024625,0,2766924.69033199,1814083.24434698,241352
"36","Bhutan","BTN",0,0,0,0,583.461967052541,558.415110266212,662828718.11118,16166434.4767496,2498408.82334079,963.827192936979,38.1709055175306,28.384269801992,0,97657.6868956167,57121576313.75,12468781939.582,699443.783944207,590347.33146827,37627.4318017066,25176.2860305309,615.414172184486,0,3485584657.04652,660223769.997959,728817
"37","Bouvet Island","BVT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Botswana","BWA",0,0,0,0,1629.77160057608,226.963642658094,54604407.7608424,1877298.7524207,539635.7758139,720.303310932824,3.92378877429292,4757.91139153912,0,644325.875621564,21040013731.3797,4049111376.67418,1394437.41132077,1250690.92529524,382289.768492282,335247.140599381,27.8834783817105,0,138857720.364992,37798799.7184459,3206950
